Prp,Dsg,Avl,Shp,Grp,Use,D,B,T,W,BT,HW,K,K1,Dnom,Mass,A,Ix,Sx,Rx,Zx,Iy,Sy,Ry,Zy,J,Cw,Wn,Sw,Qf,Qw,SA,Ds_i,Dn_i,Wt_i
,,,,,,,,,,,,,,,,,10^6,10^3,,10^3,10^6,10^3,,10^3,10^3,10^9,,10^6,10^3,10^3,,,,
W: Wide-Flange Shapes,,,,,,mm,mm,mm,mm,,,mm,mm,mm,kg/m,mm^2,mm^4,mm^3,mm,mm^3,mm^4,mm^3,mm,mm^3,mm^4,mm^6,mm^2,mm^4,mm^3,mm^3,m,,in,lb/ft
,W690x548,*,1,,3,772,372,63,35.1,2.95,18.4,85,38,690,548,69900,6730,17400,310,20400,543,2920,88.1,4570,70700,68200,65900,386,3760,10100,2.96,W27x368,27,368
,W690x500,*,1,,3,762,369,57.9,32,3.19,20.2,80,36,690,500,63800,6060,15900,308,18500,487,2640,87.4,4110,54600,60300,65000,347,3430,9190,2.94,W27x336,27,336
,W690x457,*,1,,3,752,367,53.1,29.5,3.46,21.9,75,35,690,457,58400,5470,14500,306,16800,439,2390,86.7,3720,42300,53600,64100,312,3130,8350,2.91,W27x307,27,307
,W690x419,*,1,,3,744,364,49,26.9,3.71,24,71,34,690,419,53400,4950,13300,305,15300,395,2170,86,3370,33000,47700,63200,282,2870,7600,2.89,W27x281,27,281
,W690x384,*,1,,3,736,362,45,24.9,4.02,25.9,67,33,690,384,49000,4490,12200,303,14000,357,1970,85.3,3050,25700,42600,62500,255,2620,6930,2.87,W27x258,27,258
,W690x350,*,1,,3,728,360,40.9,23.1,4.4,28,63,32,690,350,44700,4030,11100,300,12600,319,1770,84.4,2740,19500,37600,61800,228,2370,6260,2.85,W27x235,27,235
,W690x323,*,1,,3,722,359,38.1,21.1,4.71,30.6,60,31,690,323,41300,3710,10300,300,11700,294,1640,84.4,2530,15700,34400,61400,210,2200,5780,2.84,W27x217,27,217
,W690x289,*,1,,3,714,356,34,19,5.24,34,56,30,690,289,36800,3260,9140,298,10300,256,1440,83.4,2220,11200,29600,60500,183,1950,5110,2.81,W27x194,27,194
,W690x265,*,1,,3,706,358,30.2,18.4,5.93,35.1,52,30,690,265,33800,2920,8270,294,9330,231,1290,82.7,1990,8340,26400,60500,163,1730,4610,2.81,W27x178,27,178
,W690x240,*,1,,3,701,356,27.4,16.8,6.5,38.5,49,29,690,240,30700,2630,7490,292,8430,206,1160,82,1790,6270,23400,60000,146,1570,4160,2.79,W27x161,27,161
,W690x217,*,1,,3,695,355,24.8,15.4,7.16,41.9,47,28,690,217,27900,2360,6790,291,7610,185,1040,81.5,1610,4720,20800,59500,131,1410,3750,2.78,W27x146,27,146
*,W690x192,*,1,,3,702,254,27.9,15.5,4.55,41.7,50,28,690,192,24400,1980,5640,285,6460,76.4,602,56,941,4620,8680,42800,75.8,1120,3200,2.39,W27x129,27,129
,W690x170,*,1,,3,693,256,23.6,14.5,5.42,44.5,45,28,690,170,21600,1700,4910,280,5620,66.2,517,55.3,809,3050,7410,42800,64.7,954,2780,2.38,W27x114,27,114
,W690x152,*,1,,3,688,254,21.1,13.1,6.02,49.3,43,27,690,152,19400,1510,4380,279,5000,57.8,455,54.6,710,2200,6420,42300,56.7,847,2470,2.37,W27x102,27,102
,W690x140,*,1,,3,684,254,18.9,12.4,6.72,52.1,41,27,690,140,17800,1360,3980,276,4550,51.7,407,53.9,636,1670,5720,42200,50.7,759,2240,2.36,W27x94,27,94
,W690x125,*,1,,3,678,253,16.3,11.7,7.76,55.2,38,26,690,125,16000,1190,3500,272,4010,44.1,349,52.5,546,1180,4830,41900,43.1,651,1970,2.34,W27x84,27,84
*,W610x551,*,1,,3,711,347,69.1,38.6,2.51,14.8,91,40,610,551,70200,5570,15700,282,18600,484,2790,83,4380,83800,49900,55700,334,3420,9280,2.73,W24x370,24,370
,W610x498,*,1,,3,699,343,63,35.1,2.72,16.3,85,38,610,498,63500,4950,14200,279,16700,426,2480,81.9,3890,63200,43100,54500,295,3080,8310,2.7,W24x335,24,335
,W610x455,*,1,,3,689,340,57.9,32,2.94,17.9,80,36,610,455,57900,4440,12900,277,15100,381,2240,81.1,3500,48800,37900,53600,264,2810,7530,2.67,W24x306,24,306
,W610x415,*,1,,3,679,338,53.1,29.5,3.18,19.4,75,35,610,415,52900,4000,11800,275,13700,343,2030,80.5,3160,37700,33600,52900,237,2560,6830,2.65,W24x279,24,279
,W610x372,*,1,,3,669,335,48,26.4,3.49,21.7,70,34,610,372,47400,3530,10600,273,12200,302,1800,79.8,2800,27700,29100,52000,209,2300,6080,2.63,W24x250,24,250
,W610x341,*,1,,3,661,333,43.9,24.4,3.79,23.5,66,33,610,341,43400,3180,9630,271,11100,271,1630,79,2520,21300,25800,51400,188,2090,5510,2.61,W24x229,24,229
,W610x307,*,1,,3,653,330,39.9,22.1,4.14,25.9,62,31,610,307,39100,2840,8690,269,9930,240,1450,78.2,2240,15900,22500,50600,166,1880,4940,2.58,W24x207,24,207
,W610x285,*,1,,3,647,329,37.1,20.6,4.43,27.8,59,31,610,285,36300,2610,8060,268,9170,221,1340,77.9,2070,12800,20500,50200,153,1740,4570,2.57,W24x192,24,192
,W610x262,*,1,,3,641,327,34,19,4.81,30.2,56,30,610,262,33300,2360,7360,266,8350,198,1210,77.2,1870,9900,18300,49600,138,1590,4150,2.55,W24x176,24,176
,W610x241,*,1,,3,635,329,31,17.9,5.31,32,53,29,610,241,30800,2150,6780,264,7670,184,1120,77.4,1730,7700,16800,49700,127,1460,3810,2.55,W24x162,24,162
,W610x217,*,1,,3,628,328,27.7,16.5,5.92,34.7,50,29,610,217,27800,1910,6070,262,6850,163,995,76.7,1530,5600,14700,49200,112,1290,3400,2.54,W24x146,24,146
,W610x195,*,1,,3,622,327,24.4,15.4,6.7,37.2,46,28,610,195,24900,1680,5400,260,6070,142,871,75.6,1340,3970,12700,48900,97.4,1140,3020,2.52,W24x131,24,131
,W610x174,*,1,,3,616,325,21.6,14,7.52,40.9,43,27,610,174,22200,1470,4780,257,5360,124,761,74.7,1170,2800,10900,48300,84.8,998,2660,2.5,W24x117,24,117
,W610x155,*,1,,3,611,324,19,12.7,8.53,45.1,41,27,610,155,19700,1290,4220,256,4730,108,666,73.9,1020,1950,9450,48000,73.8,875,2340,2.49,W24x104,24,104
